Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
7822 200 8 7 6 9 11904.6 0.0966882
6799 200 8 7 6 9 4.97668 8.20682
822 200 8 7 6 9 50.2339 1.29056
4473 200 8 7 6 9 2.67646 7.38694
595 200 8 7 6 9 157.792 0.465385
6636 200 8 7 6 9 189.613 3.47334
9792 200 8 7 6 9 367.023 0.533475
577 200 8 7 6 9 175.152 8.37166
8288 200 8 7 6 9 6367.17 0.0571184
799 200 8 7 6 9 80.0429 8.26417
966 200 8 7 6 9 41.6767 8.10126
5046 200 8 7 6 9 177.589 8.26651
6073 200 8 7 6 9 366.24 0.217781
4860 200 8 7 6 9 1055.77 0.0640002
3948 200 8 7 6 9 329.689 0.0597727
5858 200 8 7 6 9 2795.89 0.162725
5632 200 8 7 6 9 47.4827 7.90022
9984 200 8 7 6 9 817.067 0.082902
1201 200 8 7 6 9 299.13 0.226306
6592 200 8 7 6 9 796.876 0.665479
7683 200 8 7 6 9 2.28508 7.62827
5393 200 8 7 6 9 1127.98 1.62151
5786 200 8 7 6 9 74.8774 7.61704
7075 200 8 7 6 9 1067.21 0.853868
1969 200 8 7 6 9 26253.8 7.5885
478 200 8 7 6 9 102.44 8.28725
3384 200 8 7 6 9 1317.53 0.875096
4341 200 8 7 6 9 66.6772 7.63749
5262 200 8 7 6 9 4409.82 0.147481
5447 200 8 7 6 9 61.0985 8.2231
3592 200 8 7 6 9 21.8845 7.65824
6506 200 8 7 6 9 77.5558 0.164283
5360 200 8 7 6 9 156973 0.23822
9959 200 8 7 6 9 35.5256 0.0519896
8546 200 8 7 6 9 118.68 7.76852
5737 200 8 7 6 9 15.454 8.49676
3347 200 8 7 6 9 347.153 0.114562
5968 200 8 7 6 9 444.676 7.85195
1021 200 8 7 6 9 6337 0.234178
7210 200 8 7 6 9 63.748 9.09584
7564 200 8 7 6 9 2046.7 0.255042
8297 200 8 7 6 9 43.7227 7.82842
8183 200 8 7 6 9 110.338 0.0837068
7112 200 8 7 6 9 58.6694 7.84214
2407 200 8 7 6 9 166.104 7.8496
1938 200 8 7 6 9 200.544 0.419421
4687 200 8 7 6 9 2.65948 8.13682
6725 200 8 7 6 9 1366.53 0.584305
6651 200 8 7 6 9 1137.48 7.63077
3366 200 8 7 6 9 0.248588 7.95165
6909 200 8 7 6 9 67.6993 7.7876
