Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
9210 171 6 5 7 9 1442.84 0.303313
9291 171 6 5 7 9 136.368 0.191878
395 171 6 5 7 9 11410.2 0.274986
9285 171 6 5 7 9 192706 0.182935
3464 171 6 5 7 9 321002 0.18481
3163 171 6 5 7 9 2668.42 0.282865
336 171 6 5 7 9 33635.1 0.183069
1405 171 6 5 7 9 3.7395 69.3376
3279 171 6 5 7 9 2350.65 0.1991
2684 171 6 5 7 9 24243.5 0.186082
4096 171 6 5 7 9 116473 0.184323
6103 171 6 5 7 9 137936 0.185473
2085 171 6 5 7 9 64559.6 0.27536
2302 171 6 5 7 9 23269.2 0.186656
5637 171 6 5 7 9 461.558 0.301281
8989 171 6 5 7 9 18014 0.182367
3272 171 6 5 7 9 10673.5 0.282729
5167 171 6 5 7 9 8378.19 0.184471
1238 171 6 5 7 9 5730.86 0.193742
7000 171 6 5 7 9 52720.9 0.186058
7593 171 6 5 7 9 676744 3.91056
6534 171 6 5 7 9 18739.1 1.59219
3336 171 6 5 7 9 9.35485e+06 8.90035
2670 171 6 5 7 9 21583.2 0.187109
7079 171 6 5 7 9 61274.3 0.190051
8277 171 6 5 7 9 141539 0.186666
9473 171 6 5 7 9 4977.32 0.291828
8531 171 6 5 7 9 8525.76 0.186456
1538 171 6 5 7 9 52374.7 0.186219
700 171 6 5 7 9 1543.13 0.185327
2062 171 6 5 7 9 2821.93 0.283636
9410 171 6 5 7 9 170259 0.303236
6219 171 6 5 7 9 167353 0.188123
7647 171 6 5 7 9 2.80414e+06 0.291541
5086 171 6 5 7 9 145758 0.184887
9279 171 6 5 7 9 16048.4 0.184516
8380 171 6 5 7 9 230810 0.186569
9827 171 6 5 7 9 6713.61 0.186593
2446 171 6 5 7 9 35664.9 0.283737
7096 171 6 5 7 9 78755.3 0.185135
8207 171 6 5 7 9 6194.07 0.191388
1572 171 6 5 7 9 30368.4 0.185449
5215 171 6 5 7 9 201772 0.187002
45 171 6 5 7 9 22623.3 0.184738
4981 171 6 5 7 9 365896 0.188787
3499 171 6 5 7 9 84709.5 0.187651
2370 171 6 5 7 9 7574.47 0.183083
3568 171 6 5 7 9 418936 1.99069
2238 171 6 5 7 9 5869.32 0.274156
2541 171 6 5 7 9 7716.15 0.182975
3346 171 6 5 7 9 41632.6 0.274847
