Seed  np arch1 arch2 arch3 chi2/dat duration
7395 65 6 4 4 256560 0.874517
1160 65 6 4 4 13622.1 0.0564016
5662 65 6 4 4 7993.94 8.17803
3201 65 6 4 4 941090 0.0862587
469 65 6 4 4 2643.49 0.0574509
4415 65 6 4 4 6967.79 0.0905194
3238 65 6 4 4 128336 0.0842515
419 65 6 4 4 2024.42 0.0900651
8804 65 6 4 4 25584.6 0.0854609
484 65 6 4 4 314755 0.0842235
454 65 6 4 4 8857.41 0.0579381
4606 65 6 4 4 36830 0.061459
8092 65 6 4 4 799.187 0.0618242
542 65 6 4 4 287.689 1.80443
1756 65 6 4 4 736587 0.0579529
765 65 6 4 4 26065.4 0.0851944
5526 65 6 4 4 426991 0.0576774
7175 65 6 4 4 3.24603e+06 0.0581552
1962 65 6 4 4 2827.03 0.0571894
7676 65 6 4 4 2751.32 0.0957051
71 65 6 4 4 4372.37 0.270296
613 65 6 4 4 2718.05 0.0893345
8872 65 6 4 4 7.57299e+06 0.057884
4938 65 6 4 4 28625.5 0.0957914
468 65 6 4 4 37291.8 0.0575023
9990 65 6 4 4 39.2661 19.9674
3382 65 6 4 4 43690.7 0.417148
5736 65 6 4 4 22944.5 0.0571775
6064 65 6 4 4 2169.68 0.0570177
2173 65 6 4 4 8963.48 0.0846972
7095 65 6 4 4 6197.81 0.0577307
722 65 6 4 4 327.894 0.43232
4693 65 6 4 4 326861 0.0843304
7928 65 6 4 4 42125.6 0.10867
2526 65 6 4 4 1.65407e+08 0.0844586
5963 65 6 4 4 607328 0.0576128
8218 65 6 4 4 1.74688e+09 0.0841439
7089 65 6 4 4 22040.3 0.090137
5806 65 6 4 4 26231.6 0.056306
5822 65 6 4 4 21.6764 26.7329
1307 65 6 4 4 608.055 3.43457
6045 65 6 4 4 82578.5 0.0862725
8876 65 6 4 4 826.603 0.0933702
5589 65 6 4 4 1.16023e+07 0.0575537
1107 65 6 4 4 43982.4 0.0855142
1827 65 6 4 4 11929.9 0.0902259
6503 65 6 4 4 7247.27 0.0850518
191 65 6 4 4 46294.7 0.084278
262 65 6 4 4 22422.8 0.0578464
3502 65 6 4 4 57589.8 0.0583938
1755 65 6 4 4 2.91486e+06 0.0843685
