Seed  np arch1 arch2 arch3 chi2/dat duration
3536 219 10 9 9 220579 0.317917
8247 219 10 9 9 74904.6 0.319839
1429 219 10 9 9 926126 0.297874
2485 219 10 9 9 67757.1 0.312505
109 219 10 9 9 49180.1 0.320834
6313 219 10 9 9 154300 0.200385
8154 219 10 9 9 24911.8 2.66082
4416 219 10 9 9 18.0743 64.24
617 219 10 9 9 1.81225e+06 0.296273
6314 219 10 9 9 141.001 0.446343
3168 219 10 9 9 14260.3 0.201944
2312 219 10 9 9 13939.9 1.40246
6994 219 10 9 9 98221.6 0.438017
6676 219 10 9 9 4276.14 0.219773
2862 219 10 9 9 13242.7 0.392377
616 219 10 9 9 10019 2.90655
5312 219 10 9 9 395.81 0.395831
4003 219 10 9 9 229.445 0.453127
4418 219 10 9 9 615.76 5.57439
7853 219 10 9 9 4686.58 1.70899
2426 219 10 9 9 1697.64 7.57851
6497 219 10 9 9 209056 0.202926
7937 219 10 9 9 8307.98 0.212182
5229 219 10 9 9 74957.5 0.203767
3515 219 10 9 9 6724.03 1.06121
475 219 10 9 9 3870.49 78.8792
6524 219 10 9 9 43531 43.6401
3414 219 10 9 9 15607.8 0.295151
2357 219 10 9 9 3337.25 0.317629
4182 219 10 9 9 11832.2 9.03533
9739 219 10 9 9 123894 0.296645
8380 219 10 9 9 272165 0.202401
4284 219 10 9 9 53986 0.318601
9174 219 10 9 9 406110 24.7532
2436 219 10 9 9 373086 8.21956
6847 219 10 9 9 18270.1 0.20414
6148 219 10 9 9 0.0857197 81.2909
433 219 10 9 9 632.723 1.14058
6182 219 10 9 9 490796 0.201268
7293 219 10 9 9 367.768 0.214286
5009 219 10 9 9 45242.4 0.375386
3270 219 10 9 9 181772 0.197254
5478 219 10 9 9 118137 0.213636
4473 219 10 9 9 1244.47 0.242336
5571 219 10 9 9 15359.5 1.24839
7695 219 10 9 9 1.79778e+06 0.30493
517 219 10 9 9 540.931 90.8201
4958 219 10 9 9 287466 0.215667
5305 219 10 9 9 3048.13 7.11692
2671 219 10 9 9 1.02896e+07 0.297165
5858 219 10 9 9 8243.78 18.5582
