Seed  np arch1 arch2 arch3 chi2/dat duration
7896 111 9 5 6 987598 0.150691
3594 111 9 5 6 6846.23 0.0949545
1871 111 9 5 6 15371.9 0.0967555
3836 111 9 5 6 24154.6 0.0977633
4817 111 9 5 6 19.6362 44.9895
3647 111 9 5 6 229475 0.0977241
6824 111 9 5 6 301177 0.142836
364 111 9 5 6 3838.54 0.197715
7689 111 9 5 6 1.09655e+06 0.0962873
6599 111 9 5 6 29274.2 0.164392
1680 111 9 5 6 1.79239e+06 2.38235
3500 111 9 5 6 9670.47 0.152493
1560 111 9 5 6 33017.2 0.0958893
377 111 9 5 6 199214 0.0965655
9324 111 9 5 6 95.9143 0.153921
6874 111 9 5 6 28721.2 0.0979605
1711 111 9 5 6 9.19422e+07 0.145745
3742 111 9 5 6 283037 0.151572
366 111 9 5 6 169280 0.0950699
2489 111 9 5 6 173282 0.399084
3638 111 9 5 6 244628 0.0970874
1397 111 9 5 6 1839.29 0.0971136
1626 111 9 5 6 2429.45 0.147889
2752 111 9 5 6 18262 0.0979713
274 111 9 5 6 259.449 5.33874
2362 111 9 5 6 5662.65 1.14227
2008 111 9 5 6 141646 1.99716
3794 111 9 5 6 14829.4 0.0976558
7760 111 9 5 6 556496 0.0955746
6970 111 9 5 6 22604.9 0.142463
9261 111 9 5 6 4945.41 0.158273
3303 111 9 5 6 29642.5 0.0949763
3998 111 9 5 6 27311 0.144865
1874 111 9 5 6 10756.3 0.101202
2064 111 9 5 6 14489.3 0.150288
4981 111 9 5 6 38.9485 39.9698
6450 111 9 5 6 25.4375 40.7524
8819 111 9 5 6 8729.56 0.153491
3456 111 9 5 6 192.474 0.154909
4032 111 9 5 6 61102.6 0.157026
1778 111 9 5 6 10951.4 0.0975125
6500 111 9 5 6 4013.75 0.102979
6679 111 9 5 6 9084.01 0.097144
800 111 9 5 6 3121.73 0.0975836
1963 111 9 5 6 10071 0.0982529
1860 111 9 5 6 18294.6 0.150714
1199 111 9 5 6 2785.69 0.0974979
5838 111 9 5 6 3517.71 0.152738
5084 111 9 5 6 128005 0.142561
4103 111 9 5 6 891760 0.154247
817 111 9 5 6 86147.5 0.0956053
