Seed  np arch1 arch2 chi2/dat duration
796 85 9 6 30057.2 0.0921311
6889 85 9 6 370651 13.386
8462 85 9 6 616280 0.092715
6036 85 9 6 104090 1.36981
6056 85 9 6 250684 0.0590644
8198 85 9 6 3.55603e+07 0.0927365
7438 85 9 6 55217.1 0.0848813
9257 85 9 6 132090 8.73635
4303 85 9 6 27136.1 0.0938182
4940 85 9 6 16584.2 11.7647
8604 85 9 6 16670.7 0.206711
2288 85 9 6 73603.1 9.03769
209 85 9 6 3962.17 0.0883197
9597 85 9 6 37087.2 0.0579601
533 85 9 6 3566.24 0.0846624
2471 85 9 6 11872.9 0.0893056
2316 85 9 6 43030 0.0883144
2132 85 9 6 21112.4 0.0917432
6578 85 9 6 4.93929 22.5159
4099 85 9 6 1572.86 0.0901916
2094 85 9 6 14114.5 2.39305
6694 85 9 6 20414 0.0897824
3538 85 9 6 505.487 9.69473
2419 85 9 6 667.098 4.33255
579 85 9 6 308693 0.0590598
4020 85 9 6 0.622094 26.0729
4944 85 9 6 38586.2 0.387801
9308 85 9 6 623.158 1.72748
3646 85 9 6 124765 0.0589607
9587 85 9 6 393409 0.0870306
6679 85 9 6 0.430607 22.3684
9113 85 9 6 22389.4 0.0589859
9855 85 9 6 68802.8 0.0854389
6830 85 9 6 51042.7 0.0869437
5781 85 9 6 279.505 6.72277
541 85 9 6 9.53888e+06 0.0870923
7932 85 9 6 1.38138e+06 1.47806
2854 85 9 6 0.611826 20.3339
1651 85 9 6 3.10518 21.7653
4554 85 9 6 25402.6 0.0579028
3242 85 9 6 16918.6 0.08656
7926 85 9 6 881656 0.0866188
6841 85 9 6 35762.8 0.0583543
374 85 9 6 253818 0.091667
4336 85 9 6 36.7837 7.38354
7512 85 9 6 1799.9 1.47987
2283 85 9 6 8354.83 0.103399
5572 85 9 6 32432.2 0.0589714
950 85 9 6 10.9057 18.8614
5644 85 9 6 50185.1 0.118841
7363 85 9 6 1.43979e+08 0.12763
