Seed  np arch1 arch2 chi2/dat duration
6897 69 7 6 17101.3 0.0703925
4039 69 7 6 12096.4 2.1523
3180 69 7 6 0.599647 21.4216
5167 69 7 6 738.544 2.07223
9974 69 7 6 38553.5 0.0459184
7782 69 7 6 16171.9 2.47197
5003 69 7 6 1620.75 5.96239
559 69 7 6 64559.6 0.0471896
1835 69 7 6 44351.3 0.0720302
786 69 7 6 19427.1 0.477194
1759 69 7 6 35867.2 0.0472389
5977 69 7 6 5495.13 0.826513
2237 69 7 6 4374.42 0.0975622
1911 69 7 6 0.6116 17.3609
8370 69 7 6 614.954 0.0754957
8012 69 7 6 9145.92 0.093571
1792 69 7 6 91852.4 1.54939
4375 69 7 6 75282.8 0.047659
8300 69 7 6 56659.7 0.0476079
157 69 7 6 78771.1 0.0721734
5878 69 7 6 233096 0.073416
4588 69 7 6 2.75807 20.1878
5114 69 7 6 14186.3 0.0731197
7221 69 7 6 8945.38 0.359472
2583 69 7 6 211161 0.0698276
8817 69 7 6 393590 3.05985
7952 69 7 6 21552.1 0.0762911
8667 69 7 6 42398.3 0.0458992
6499 69 7 6 204623 0.102343
1029 69 7 6 27627.4 0.0697977
7309 69 7 6 0.58723 19.4756
3858 69 7 6 303.616 7.28511
680 69 7 6 175.483 15.6915
6860 69 7 6 14759.7 8.88666
8932 69 7 6 5903.37 0.0759785
6699 69 7 6 7190.24 0.0722111
8897 69 7 6 28818.2 0.0460701
4350 69 7 6 4.16884e+06 0.0689227
1756 69 7 6 143662 0.0719494
9022 69 7 6 27147 3.42017
3840 69 7 6 10752.2 0.103795
6525 69 7 6 2683.21 0.120046
2178 69 7 6 10166.8 0.986379
8971 69 7 6 41747.1 0.071823
1640 69 7 6 26304.8 2.64894
2177 69 7 6 1453.26 2.21618
1695 69 7 6 77316.2 0.0748754
4468 69 7 6 28.8936 17.8427
8394 69 7 6 126950 0.0734067
9987 69 7 6 64387.3 0.0476831
8898 69 7 6 8.66921 19.1301
